name,ring,quadrant,isNew,strategy,importance,format,description
name,ring,quadrant,isNew,strategy,importance,format,description
AWS,Assess,Platforms,FALSE,Cloud,2,,"Amazon Web Services (AWS) ist eine umfassende und weit verbreitete Cloud-Plattform, die eine Vielzahl von Diensten wie Rechenleistung, Speicherung und Datenbanken anbietet. Sie ermöglicht skalierbare und flexible Lösungen für Unternehmen und Entwickler."
Apache Cassandra,Assess,Platforms,FALSE,Datenmanagment,2,,"Apache Cassandra ist eine verteilte NoSQL-Datenbank, die für ihre Skalierbarkeit und hohe Verfügbarkeit bekannt ist. Sie eignet sich besonders für Anwendungen, bei denen große Mengen an Daten über mehrere Server verteilt werden müssen."
Kafka,Adopt,Platforms,FALSE,Datenmanagment,1,Techbrunch Event Driven Design,"Apache Kafka ist eine verteilte Streaming-Plattform, die häufig für die Verarbeitung von Echtzeitdatenströmen verwendet wird. Sie ermöglicht das Speichern, Lesen und Analysieren von Streaming-Daten."
ChatGPT,Trial,Tools,FALSE,Innovation,1,SOT AI,"ChatGPT ist ein auf künstlicher Intelligenz basierendes Modell für natürliche Sprachverarbeitung, entwickelt von OpenAI. Es kann für Aufgaben wie Textgenerierung, Konversationen, Übersetzungen und Antworten auf Benutzeranfragen verwendet werden."
Data Lake,Trial,Platforms,FALSE,Datenmanagment,1,SOT DataFabric,"Eine zentrale Speicherlösung, die es Unternehmen ermöglicht, große Mengen strukturierter und unstrukturierter Daten zu speichern, um sie für Analysezwecke zu nutzen, wobei Flexibilität in der Datennutzung und -verarbeitung gewährleistet wird, während gleichzeitig die Kosten für die Datenverwaltung gesenkt werden."
Data Mesh,Trial,Techniques,FALSE,Datenmanagment,2,ArcCircle,"Eine innovative Datenarchitektur, die darauf abzielt, Datenverwaltung und -analyse in skalierbaren, dezentralisierten Domänen zu organisieren, wodurch Teams in der Lage sind, eigenständig Daten zu verwalten und zu verwenden, während gleichzeitig die Skalierbarkeit und Flexibilität des Gesamtsystems verbessert wird."
DDD,Trial,Techniques,FALSE,Software Solutions,2,,"Domain-Driven Design (DDD) ist ein Ansatz für die Softwareentwicklung, der sich auf die Modellierung einer Software nach dem Domänenmodell des Anwendungsbereichs konzentriert. Es betont die Wichtigkeit von Zusammenarbeit zwischen technischen und domänenexperten."
ElasticSearch,Trial,Platforms,FALSE,Software Solutions,1,ArcCircle ELK Stack 2025 (Gianluca),"ElasticSearch ist eine mächtige Open-Source-Such- und Analyse-Engine, die auf Apache Lucene basiert. Sie wird häufig für Volltextsuche, Echtzeit-Indexierung und Analyse großer Datenmengen verwendet."
GitHub,Adopt,Tools,FALSE,Cloud,2,,"GitHub ist eine Plattform für die Versionskontrolle und Kollaboration, die es Entwicklern ermöglicht, gemeinsam an Projekten zu arbeiten. Es basiert auf Git und bietet Funktionen wie Code-Review, Projektmanagement und CI/CD-Integration."
GraalVM,Assess,languages-and-frameworks,FALSE,Software Solutions,1,ArcCircle + Techbrunch,"GraalVM ist eine universelle virtuelle Maschine, die für Anwendungen geschrieben in Java, JavaScript, und anderen JVM-Sprachen optimiert ist. Sie bietet hohe Leistung und Interoperabilität."
Helm,Trial,Tools,FALSE,Cloud,2,,"Helm ist ein Paketmanager für Kubernetes, der das Verwalten von Kubernetes-Anwendungen erleichtert. Es ermöglicht Entwicklern, vorkonfigurierte Sets von Ressourcen, genannt Charts, zu definieren und zu teilen."
Kubernetes,Adopt,Platforms,FALSE,Cloud,1,Academy,"Kubernetes ist ein Open-Source-System zur Automatisierung der Bereitstellung, Skalierung und Verwaltung von containerisierten Anwendungen. Es ermöglicht die Orchestrierung von Containern auf einem Cluster von Hosts."
Azure,Adopt,Platforms,FALSE,Cloud,1,Academy,"Microsoft Azure ist eine Cloud-Computing-Plattform, die eine Vielzahl von Diensten bietet, darunter IaaS, PaaS und SaaS-Lösungen für Speicherung, Analyse, Netzwerk und vieles mehr. Sie ist bekannt für ihre Integration in Microsoft-Produkte."
MongoDB,Trial,Platforms,FALSE,Datamanagement,1,Techbrunch,"MongoDB ist eine beliebte NoSQL-Datenbank, die flexible Schemata und die Speicherung von Daten in einem JSON-ähnlichen Format ermöglicht. Sie ist bekannt für ihre Skalierbarkeit und einfache Integration in viele Webanwendungen."
OpenShift,Adopt,Platforms,FALSE,Cloud,2,,"OpenShift ist eine Kubernetes-basierte Container-Plattform, die Entwicklern Tools zur Bereitstellung und Verwaltung von Anwendungen in der Cloud bietet. Es kombiniert DevOps-Prinzipien mit Cloud-Portabilität."
Python,Trial,languages-and-frameworks,FALSE,Software Solutions,2,Academy,"Python ist eine vielseitige, interpretierte Sprache, die für ihre einfache Lesbarkeit und kurze Syntax bekannt ist. Sie wird in vielen Bereichen eingesetzt, einschließlich Webentwicklung, Datenanalyse, künstliche Intelligenz und wissenschaftliches Rechnen."
Quarkus,Adopt,languages-and-frameworks,FALSE,Software Solutions,2,,"Quarkus ist ein Kubernetes-natives Java-Stack, das für GraalVM und HotSpot optimiert ist. Es ermöglicht das Erstellen von effizienten und schnellen Java-Anwendungen, insbesondere für Cloud-Umgebungen."
Rust,Assess,languages-and-frameworks,FALSE,Software Solutions,2,Techbrunch 2025,"Rust ist eine systemnahe Programmiersprache, die auf Sicherheit, Geschwindigkeit und Parallelverarbeitung fokussiert ist. Sie wird häufig für hochleistungsfähige Anwendungen und sichere Systemprogrammierung verwendet."
API Design,Adopt,Techniques,FALSE,Software Solutions,2,,"Der Prozess der Gestaltung von Schnittstellen, die es verschiedenen Softwarekomponenten ermöglichen, miteinander zu kommunizieren und Daten auszutauschen, wobei Aspekte wie Benutzerfreundlichkeit, Sicherheit und Erweiterbarkeit berücksichtigt werden."
Event Driven Design,Adopt,Techniques,FALSE,Software Solutions,1,Techbrunch Event Driven Design,"Ein Architekturstil, der auf dem Konzept basiert, dass Softwarekomponenten auf Ereignisse reagieren und entsprechende Aktionen auslösen, wodurch Systeme flexibler und skalierbarer werden, indem sie auf Änderungen in Echtzeit reagieren."
Datenvisualisierung,Trial,Tools,FALSE,Datamanagement,2,"(PowerBI, Grafana)","Die grafische Darstellung von Daten und Informationen, um komplexe Muster, Trends und Beziehungen auf einen Blick zu erfassen und Entscheidungsfindung sowie Erkenntnisgewinn zu unterstützen."
Security Scanning,Trial,Tools,FALSE,Cloud,1,ArcCircle Security & Quality 2025,"Der automatisierte Prozess des Durchsuchens von Softwareanwendungen oder -systemen nach Sicherheitslücken, Schwachstellen und Bedrohungen, um potenzielle Risiken zu identifizieren und zu beheben."
