name,ring,quadrant,isNew,description
Java,Adopt,languages-and-frameworks,FALSE,"Java ist eine weit verbreitete, objektorientierte Programmiersprache, bekannt für ihre Portabilität über verschiedene Plattformen hinweg. Sie wird häufig für die Entwicklung von Unternehmensanwendungen, mobilen Apps und großen Systemen verwendet."
Kotlin,Assess,,FALSE,"Kotlin ist eine moderne, statisch typisierte Programmiersprache, die auf der Java Virtual Machine (JVM) läuft und vollständig mit Java kompatibel ist. Sie wird bevorzugt für Android-App-Entwicklung und serverseitige Anwendungen genutzt."
Python,Trial,languages-and-frameworks,FALSE,"Python ist eine vielseitige, interpretierte Sprache, die für ihre einfache Lesbarkeit und kurze Syntax bekannt ist. Sie wird in vielen Bereichen eingesetzt, einschließlich Webentwicklung, Datenanalyse, künstliche Intelligenz und wissenschaftliches Rechnen."
Go,Assess,languages-and-frameworks,FALSE,"Go, auch bekannt als Golang, ist eine von Google entwickelte Open-Source-Sprache, die für ihre Effizienz und Konkurrenzfähigkeit bekannt ist. Sie eignet sich besonders für Cloud-basierte Anwendungen und Netzwerkdienste."
Rust,Assess,languages-and-frameworks,FALSE,"Rust ist eine systemnahe Programmiersprache, die auf Sicherheit, Geschwindigkeit und Parallelverarbeitung fokussiert ist. Sie wird häufig für hochleistungsfähige Anwendungen und sichere Systemprogrammierung verwendet."
node.js,Trial,languages-and-frameworks,FALSE,"Node.js ist eine Open-Source-Laufzeitumgebung für JavaScript, die serverseitiges Scripting ermöglicht. Es ist bekannt für seine Nicht-Blockierung, ereignisgesteuerte Architektur, ideal für skalierbare Netzwerkanwendungen."
C++,Hold,,FALSE,"C++ ist eine erweiterte, objektorientierte Programmiersprache, die für System- und Anwendungssoftware, Treiber, Client-Server-Anwendungen und eingebettete Firmware verwendet wird."
.NET C#,Adopt,languages-and-frameworks,FALSE,".NET C# ist eine vielseitige, objektorientierte Programmiersprache, die von Microsoft entwickelt wurde und Teil des .NET-Frameworks ist. Sie wird häufig für Desktop- und Webanwendungen eingesetzt."
Angular,Adopt,languages-and-frameworks,FALSE,"Angular ist ein von Google unterstütztes Open-Source-Frontend-Webframework, das für die Erstellung dynamischer Webanwendungen verwendet wird. Es ermöglicht die Entwicklung von Single-Page-Anwendungen mit einer klaren Struktur und effizienter Datenbindung."
Bootstrap,Hold,,FALSE,"Bootstrap ist ein beliebtes Frontend-Framework, das für responsives Webdesign entwickelt wurde. Es bietet eine Sammlung wiederverwendbarer Komponenten und CSS-Stile, um das Layout und das Aussehen von Webseiten auf verschiedenen Geräten zu vereinheitlichen."
JQuery,Hold,,FALSE,"jQuery ist eine schnelle, kleine und funktionsreiche JavaScript-Bibliothek. Sie vereinfacht HTML-Dokumententraversierung und -manipulation, Event-Handling, Animation und Ajax-Interaktionen für eine schnellere Webentwicklung."
React,Adopt,languages-and-frameworks,FALSE,"React ist eine von Facebook entwickelte JavaScript-Bibliothek für den Bau von Benutzeroberflächen. Sie ist bekannt für ihre effiziente, deklarative und flexible Herangehensweise bei der Erstellung von interaktiven UIs, insbesondere in Single-Page-Anwendungen."
Vue.js,Hold,,FALSE,Vue.js ist ein progressives JavaScript-Framework zur Erstellung von Benutzeroberflächen. Es zeichnet sich durch seine einfache Integration in Projekte und seine Flexibilität aus und eignet sich sowohl für die Erstellung kleiner Komponenten als auch komplexer Single-Page-Anwendungen.
JavaScript,Adopt,languages-and-frameworks,FALSE,"JavaScript ist eine weit verbreitete Programmiersprache, die hauptsächlich in Webbrowsern für die Erstellung von interaktiven Websites verwendet wird. Sie ermöglicht es, dynamischen Inhalt wie interaktive Karten, Animationen und Formularvalidierungen hinzuzufügen."
HTML5,Adopt,,FALSE,"HTML5 ist die neueste Version der Hypertext Markup Language, die für die Strukturierung und Präsentation von Inhalten im Internet verwendet wird. Sie unterstützt moderne Webdesign-Elemente wie Video- und Audioeinbettungen, lokale Datenspeicherung und interaktive Dokumente."
CSS3,Adopt,,FALSE,"CSS3 ist die neueste Erweiterung der Cascading Style Sheets-Sprache, die für das Styling und das Design von Webseiten verwendet wird. Sie bietet erweiterte Funktionen wie Animationen, Schatten, flexible Box-Layouts und Responsive Design-Techniken."
ASP .NET MVC,Hold,,FALSE,"ASP.NET MVC ist ein Framework für die Erstellung von Webanwendungen, das das Model-View-Controller-Designmuster verwendet. Es ermöglicht eine klare Trennung von Logik und Benutzeroberfläche und wird häufig für die Entwicklung von dynamischen, skalierbaren Webseiten und Anwendungen eingesetzt."
JSP,Hold,,FALSE,Java Server Pages (JSP) ist eine Technologie zur Erstellung dynamischer Webseiten auf Java-basierten Webservern. Sie ermöglicht das Einbetten von Java-Code in HTML-Seiten und unterstützt benutzerdefinierte Tag-Bibliotheken für wiederverwendbare Komponenten.
SAPUI5,Adopt,languages-and-frameworks,FALSE,"SAPUI5 ist ein JavaScript-Framework für die Entwicklung responsiver Webanwendungen. Es ist Teil der SAP-Produktreihe und ermöglicht das Erstellen von Apps, die auf verschiedenen Geräten und Plattformen reibungslos funktionieren."
Object Relation Mapping,Adopt,Techniques,TRUE,
Unit Testing,Adopt,Techniques,TRUE,
Spring Boot,Adopt,languages-and-frameworks,FALSE,"Spring Boot ist ein Framework, das die Erstellung stand-alone, produktionsreife Spring-Anwendungen vereinfacht. Es bietet Konventionen für die Konfiguration, eingebettete Server und eine breite Palette an Starter-Kits."
Quarkus,Adopt,languages-and-frameworks,FALSE,"Quarkus ist ein Kubernetes-natives Java-Stack, das für GraalVM und HotSpot optimiert ist. Es ermöglicht das Erstellen von effizienten und schnellen Java-Anwendungen, insbesondere für Cloud-Umgebungen."
GraalVM,Assess,languages-and-frameworks,FALSE,"GraalVM ist eine universelle virtuelle Maschine, die für Anwendungen geschrieben in Java, JavaScript, und anderen JVM-Sprachen optimiert ist. Sie bietet hohe Leistung und Interoperabilität."
Database Change,Adopt,Techniques,TRUE,
Flyway,Hold,,FALSE,"Flyway ist ein einfaches Tool für das Datenbank-Migrationsmanagement. Es hilft Entwicklern, Versionen ihrer Datenbankschemata zu verwalten und sicherzustellen, dass Änderungen konsistent über verschiedene Umgebungen verteilt werden."
JMX,Adopt,,FALSE,"Java Management Extensions (JMX) ist eine Technologie, die das Verwalten und Überwachen von Java-Anwendungen, Systemobjekten, Geräten und Dienstorientierten Netzwerken ermöglicht."
SOAP,Hold,,FALSE,"Simple Object Access Protocol (SOAP) ist ein Protokoll für den Austausch strukturierter Informationen in der Implementierung von Web Services in Computernetzwerken. Es basiert auf XML und ermöglicht es, komplexe Kommunikationsstrukturen aufzubauen."
API Design,Adopt,Techniques,TRUE,
XML,Hold,,FALSE,"Extensible Markup Language (XML) ist eine flexible Textformat-Sprache, die für die Darstellung verschiedener Datenstrukturen verwendet wird. Sie wird in vielen Technologien für das Datenformat und den Austausch genutzt."
Event Driven Design,Adopt,Techniques,TRUE,
EJB,Adopt,,FALSE,"Enterprise JavaBeans (EJB) ist eine Server-seitige Softwarekomponente, die die Geschäftslogik in Enterprise-Anwendungen kapselt. EJBs werden verwendet, um skalierbare, transaktionsorientierte Anwendungen zu erstellen."
JPA,Adopt,,FALSE,"Java Persistence API (JPA) ist eine Java-Spezifikation für den Zugriff, die Persistenz und das Management von Daten zwischen Java-Objekten und einer relationalen Datenbank. Es ist ein Teil der Java Enterprise Edition."
SQL,Adopt,Techniques,TRUE,
NO SQL,Adopt,Techniques,TRUE,
SQL Server,Adopt,,FALSE,"Microsoft SQL Server ist ein relationales Datenbankmanagementsystem, das umfangreiche Funktionen für Datenmanagement, Business Intelligence und Analyse bietet. Es ist für seine Integration mit anderen Microsoft-Produkten bekannt."
PostgreSQL,Adopt,,FALSE,"PostgreSQL ist ein leistungsfähiges, Open-Source-Objekt-relationalen Datenbankmanagementsystem. Es wird für seine Zuverlässigkeit, Flexibilität und Unterstützung für erweiterte Datentypen und Funktionen geschätzt."
SQLLite,Adopt,,FALSE,"SQLite ist eine leichte, in sich geschlossene, konfigurationsfreie SQL-Datenbank-Engine. Sie wird häufig in mobilen Anwendungen, Embedded-Systemen und kleinen bis mittleren Webanwendungen eingesetzt."
MariaDB,Trial,,FALSE,"MariaDB ist ein Open-Source-Relationalen Datenbankmanagementsystem, das als Abspaltung von MySQL entstanden ist. Es bietet hohe Kompatibilität mit MySQL, zusätzlich zu neuen Funktionen und Verbesserungen."
Apache Cassandra,Assess,Platforms,FALSE,"Apache Cassandra ist eine verteilte NoSQL-Datenbank, die für ihre Skalierbarkeit und hohe Verfügbarkeit bekannt ist. Sie eignet sich besonders für Anwendungen, bei denen große Mengen an Daten über mehrere Server verteilt werden müssen."
CouchDB,Assess,,FALSE,"Apache CouchDB ist eine NoSQL-Datenbank, die JSON für Datenspeicherung und JavaScript als ihre Abfragesprache verwendet. Sie ist bekannt für ihre Fähigkeit zur Replikation und Synchronisation von Daten zwischen mehreren Geräten und Servern."
Redis,Trial,Platforms,FALSE,"Redis ist ein Open-Source-Schlüsselwert-Datenbank, die häufig als Cache und Nachrichtenbroker verwendet wird. Sie ist bekannt für ihre hohe Leistung, Persistenz und Unterstützung verschiedener Datentypen."
ElasticSearch,Trial,Platforms,FALSE,"ElasticSearch ist eine mächtige Open-Source-Such- und Analyse-Engine, die auf Apache Lucene basiert. Sie wird häufig für Volltextsuche, Echtzeit-Indexierung und Analyse großer Datenmengen verwendet."
MongoDB,Trial,Platforms,FALSE,"MongoDB ist eine beliebte NoSQL-Datenbank, die flexible Schemata und die Speicherung von Daten in einem JSON-ähnlichen Format ermöglicht. Sie ist bekannt für ihre Skalierbarkeit und einfache Integration in viele Webanwendungen."
Docker,Adopt,Platforms,FALSE,"Docker ist eine Plattform für die Entwicklung, den Versand und die Ausführung von Anwendungen in isolierten Umgebungen, genannt Container. Es erleichtert die Konsistenz zwischen Entwicklungs- und Produktionsumgebungen und unterstützt Mikroservice-Architekturen."
Kubernetes,Adopt,Platforms,FALSE,"Kubernetes ist ein Open-Source-System zur Automatisierung der Bereitstellung, Skalierung und Verwaltung von containerisierten Anwendungen. Es ermöglicht die Orchestrierung von Containern auf einem Cluster von Hosts."
OpenShift,Adopt,Platforms,FALSE,"OpenShift ist eine Kubernetes-basierte Container-Plattform, die Entwicklern Tools zur Bereitstellung und Verwaltung von Anwendungen in der Cloud bietet. Es kombiniert DevOps-Prinzipien mit Cloud-Portabilität."
Helm,Trial,Tools,FALSE,"Helm ist ein Paketmanager für Kubernetes, der das Verwalten von Kubernetes-Anwendungen erleichtert. Es ermöglicht Entwicklern, vorkonfigurierte Sets von Ressourcen, genannt Charts, zu definieren und zu teilen."
Datenvisualisierung,Trial,Tools,TRUE,
Kafka,Adopt,Platforms,FALSE,"Apache Kafka ist eine verteilte Streaming-Plattform, die häufig für die Verarbeitung von Echtzeitdatenströmen verwendet wird. Sie ermöglicht das Speichern, Lesen und Analysieren von Streaming-Daten."
Apache Beam,Assess,Platforms,FALSE,"Apache Beam ist ein Open-Source-Modell für die Definition und Ausführung von Datenverarbeitungsaufgaben, die auf verschiedenen Ausführungs-Engines wie Apache Spark und Apache Flink laufen können."
Logging,Adopt,Tools,TRUE,
Monitoring,Adopt,Tools,TRUE,
Security Scanning,Trial,Tools,TRUE,
