name,ring,quadrant,isNew,strategy,importance,description
AWS,Assess,Platforms,FALSE,Cloud,2,"Amazon Web Services (AWS) ist eine umfassende und weit verbreitete Cloud-Plattform, die eine Vielzahl von Diensten wie Rechenleistung, Speicherung und Datenbanken anbietet. Sie ermöglicht skalierbare und flexible Lösungen für Unternehmen und Entwickler."
Apache Beam,Assess,Platforms,FALSE,Datenmanagment,3,"Apache Beam ist ein Open-Source-Modell für die Definition und Ausführung von Datenverarbeitungsaufgaben, die auf verschiedenen Ausführungs-Engines wie Apache Spark und Apache Flink laufen können."
Apache Cassandra,Assess,Platforms,FALSE,Datenmanagment,2,"Apache Cassandra ist eine verteilte NoSQL-Datenbank, die für ihre Skalierbarkeit und hohe Verfügbarkeit bekannt ist. Sie eignet sich besonders für Anwendungen, bei denen große Mengen an Daten über mehrere Server verteilt werden müssen."
Kafka,Adopt,Platforms,FALSE,Datenmanagment,1,"Apache Kafka ist eine verteilte Streaming-Plattform, die häufig für die Verarbeitung von Echtzeitdatenströmen verwendet wird. Sie ermöglicht das Speichern, Lesen und Analysieren von Streaming-Daten."
ChatGPT,Trial,Tools,FALSE,Innovation,1,"ChatGPT ist ein auf künstlicher Intelligenz basierendes Modell für natürliche Sprachverarbeitung, entwickelt von OpenAI. Es kann für Aufgaben wie Textgenerierung, Konversationen, Übersetzungen und Antworten auf Benutzeranfragen verwendet werden."
Data Lake,Trial,Techniques,FALSE,Datenmanagment,1,"Eine zentrale Speicherlösung, die es Unternehmen ermöglicht, große Mengen strukturierter und unstrukturierter Daten zu speichern, um sie für Analysezwecke zu nutzen, wobei Flexibilität in der Datennutzung und -verarbeitung gewährleistet wird, während gleichzeitig die Kosten für die Datenverwaltung gesenkt werden."
Data Mesh,Assess,Techniques,FALSE,Datenmanagment,2,"Eine innovative Datenarchitektur, die darauf abzielt, Datenverwaltung und -analyse in skalierbaren, dezentralisierten Domänen zu organisieren, wodurch Teams in der Lage sind, eigenständig Daten zu verwalten und zu verwenden, während gleichzeitig die Skalierbarkeit und Flexibilität des Gesamtsystems verbessert wird."
Databricks,Trial,Platforms,FALSE,Datenmanagment,3,Databricks ist eine auf Apache Spark basierende Plattform für Big Data Analytics und maschinelles Lernen. Sie ermöglicht die schnelle und effiziente Verarbeitung großer Datenmengen und bietet eine kollaborative Umgebung für Datenwissenschaftler und Ingenieure.
Datamining,Assess,Techniques,FALSE,Datenmanagment,3,"Datamining ist der Prozess des Entdeckens von Mustern und Wissen aus großen Datenmengen. Es verwendet Methoden aus Statistik, maschinellem Lernen und Datenbank-Systemen, um Einblicke in Datenbestände zu gewinnen."
Data Ops,Assess,Techniques,FALSE,Datenmanagment,3,"DataOps (Data Operations) ist ein agiler Ansatz zur Entwicklung und Verwaltung von Datenanalytik, der den Fokus auf Kommunikation, Integration und Automatisierung der Datenflüsse zwischen Datenmanagern und Datenkonsumenten in einer Organisation legt."
DDD,Trial,Techniques,FALSE,Software Solutions,2,"Domain-Driven Design (DDD) ist ein Ansatz für die Softwareentwicklung, der sich auf die Modellierung einer Software nach dem Domänenmodell des Anwendungsbereichs konzentriert. Es betont die Wichtigkeit von Zusammenarbeit zwischen technischen und domänenexperten."
ElasticSearch,Trial,Platforms,FALSE,Software Solutions,1,"ElasticSearch ist eine mächtige Open-Source-Such- und Analyse-Engine, die auf Apache Lucene basiert. Sie wird häufig für Volltextsuche, Echtzeit-Indexierung und Analyse großer Datenmengen verwendet."
GitHub,Adopt,Tools,FALSE,Cloud,2,"GitHub ist eine Plattform für die Versionskontrolle und Kollaboration, die es Entwicklern ermöglicht, gemeinsam an Projekten zu arbeiten. Es basiert auf Git und bietet Funktionen wie Code-Review, Projektmanagement und CI/CD-Integration."
Go,Assess,languages-and-frameworks,FALSE,Software Solutions,3,"Go, auch bekannt als Golang, ist eine von Google entwickelte Open-Source-Sprache, die für ihre Effizienz und Konkurrenzfähigkeit bekannt ist. Sie eignet sich besonders für Cloud-basierte Anwendungen und Netzwerkdienste."
GCP,Assess,Platforms,FALSE,Cloud,3,"Google Cloud Platform (GCP) bietet Cloud-Computing-Dienste, die die gleiche Infrastruktur verwenden, die Google intern für Produkte wie Google Search und YouTube nutzt. Sie bietet Dienste in Bereichen wie Computing, Speicherung und Datenbanken."
GraalVM,Assess,languages-and-frameworks,FALSE,Software Solutions,1,"GraalVM ist eine universelle virtuelle Maschine, die für Anwendungen geschrieben in Java, JavaScript, und anderen JVM-Sprachen optimiert ist. Sie bietet hohe Leistung und Interoperabilität."
Helm,Trial,Tools,FALSE,Cloud,2,"Helm ist ein Paketmanager für Kubernetes, der das Verwalten von Kubernetes-Anwendungen erleichtert. Es ermöglicht Entwicklern, vorkonfigurierte Sets von Ressourcen, genannt Charts, zu definieren und zu teilen."
Kubernetes,Adopt,Platforms,FALSE,Cloud,1,"Kubernetes ist ein Open-Source-System zur Automatisierung der Bereitstellung, Skalierung und Verwaltung von containerisierten Anwendungen. Es ermöglicht die Orchestrierung von Containern auf einem Cluster von Hosts."
Azure,Adopt,Platforms,FALSE,Cloud,1,"Microsoft Azure ist eine Cloud-Computing-Plattform, die eine Vielzahl von Diensten bietet, darunter IaaS, PaaS und SaaS-Lösungen für Speicherung, Analyse, Netzwerk und vieles mehr. Sie ist bekannt für ihre Integration in Microsoft-Produkte."
MongoDB,Trial,Platforms,FALSE,Datamanagement,1,"MongoDB ist eine beliebte NoSQL-Datenbank, die flexible Schemata und die Speicherung von Daten in einem JSON-ähnlichen Format ermöglicht. Sie ist bekannt für ihre Skalierbarkeit und einfache Integration in viele Webanwendungen."
node.js,Trial,languages-and-frameworks,FALSE,Software Solutions,3,"Node.js ist eine Open-Source-Laufzeitumgebung für JavaScript, die serverseitiges Scripting ermöglicht. Es ist bekannt für seine Nicht-Blockierung, ereignisgesteuerte Architektur, ideal für skalierbare Netzwerkanwendungen."
OpenShift,Adopt,Platforms,FALSE,Cloud,2,"OpenShift ist eine Kubernetes-basierte Container-Plattform, die Entwicklern Tools zur Bereitstellung und Verwaltung von Anwendungen in der Cloud bietet. Es kombiniert DevOps-Prinzipien mit Cloud-Portabilität."
Python,Trial,languages-and-frameworks,FALSE,Software Solutions,2,"Python ist eine vielseitige, interpretierte Sprache, die für ihre einfache Lesbarkeit und kurze Syntax bekannt ist. Sie wird in vielen Bereichen eingesetzt, einschließlich Webentwicklung, Datenanalyse, künstliche Intelligenz und wissenschaftliches Rechnen."
Quarkus,Adopt,languages-and-frameworks,FALSE,Software Solutions,2,"Quarkus ist ein Kubernetes-natives Java-Stack, das für GraalVM und HotSpot optimiert ist. Es ermöglicht das Erstellen von effizienten und schnellen Java-Anwendungen, insbesondere für Cloud-Umgebungen."
Redis,Trial,Platforms,FALSE,Datamanagment,2,"Redis ist ein Open-Source-Schlüsselwert-Datenbank, die häufig als Cache und Nachrichtenbroker verwendet wird. Sie ist bekannt für ihre hohe Leistung, Persistenz und Unterstützung verschiedener Datentypen."
Rust,Assess,languages-and-frameworks,FALSE,Software Solutions,2,"Rust ist eine systemnahe Programmiersprache, die auf Sicherheit, Geschwindigkeit und Parallelverarbeitung fokussiert ist. Sie wird häufig für hochleistungsfähige Anwendungen und sichere Systemprogrammierung verwendet."
API Design,Adopt,Techniques,FALSE,Software Solutions,2,"Der Prozess der Gestaltung von Schnittstellen, die es verschiedenen Softwarekomponenten ermöglichen, miteinander zu kommunizieren und Daten auszutauschen, wobei Aspekte wie Benutzerfreundlichkeit, Sicherheit und Erweiterbarkeit berücksichtigt werden."
Event Driven Design,Adopt,Techniques,FALSE,Software Solutions,1,"Ein Architekturstil, der auf dem Konzept basiert, dass Softwarekomponenten auf Ereignisse reagieren und entsprechende Aktionen auslösen, wodurch Systeme flexibler und skalierbarer werden, indem sie auf Änderungen in Echtzeit reagieren."
Datenvisualisierung,Trial,Tools,FALSE,Datamanagement,2,"Die grafische Darstellung von Daten und Informationen, um komplexe Muster, Trends und Beziehungen auf einen Blick zu erfassen und Entscheidungsfindung sowie Erkenntnisgewinn zu unterstützen."
Security Scanning,Trial,Tools,FALSE,Cloud,1,"Der automatisierte Prozess des Durchsuchens von Softwareanwendungen oder -systemen nach Sicherheitslücken, Schwachstellen und Bedrohungen, um potenzielle Risiken zu identifizieren und zu beheben."
Codespaces,Assess,Tools,FALSE,Cloud,2,"Virtuelle Entwicklungsumgebungen in der Cloud, die es Entwicklern ermöglichen, Code in einer isolierten Umgebung zu schreiben, zu testen und bereitzustellen, ohne lokale Ressourcen zu beanspruchen."
Dev Containers,Assess,Tools,TRUE,Cloud,2,
Code Quality,Adopt,Techniques,FALSE,Software Solutions,1,"Die Bewertung und Verbesserung der Struktur, Lesbarkeit und Effizienz des Quellcodes, um Fehler zu reduzieren, die Wartbarkeit zu erhöhen und die langfristige Qualität einer Softwareanwendung zu gewährleisten."
Terraform,Adopt,Tools,TRUE,Cloud,1,
Secure Code,Adopt,Techniques,FALSE,Cloud,1,"Die Entwicklung von sicherem Quellcode unter Berücksichtigung bewährter Sicherheitspraktiken, um Schwachstellen und Sicherheitslücken zu vermeiden und die Integrität und Vertraulichkeit von Daten zu schützen."
Infrastructure as Code,Adopt,Techniques,FALSE,Cloud,1,"Ein Ansatz zur Verwaltung und Bereitstellung von IT-Infrastruktur, bei dem Infrastrukturkonfigurationen in Code geschrieben und versioniert werden, um die Automatisierung und Skalierbarkeit von Bereitstellungen zu verbessern."
Serverless,Assess,Techniques,TRUE,Cloud,1,"Eine Cloud-Computing-Architektur, bei der Entwickler Code bereitstellen und ausführen können, ohne sich um die zugrunde liegende Infrastruktur kümmern zu müssen, wodurch die Entwicklung und Bereitstellung von Anwendungen vereinfacht wird."
Data Fabric,Trial,Tools,TRUE,Datenmanagment,1,"Data Fabric ermöglicht Unternehmen eine nahtlose Verwaltung und Integration von Daten über verteilte Systeme hinweg, um eine einheitliche Datenansicht zu gewährleisten und die Datenverarbeitungseffizienz zu optimieren."
